symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
OPUSD_PERP.A,A,OPUSD_PERP,OP,USD,,True,True,COIN,QUOTE_ASSET,True,True
RUNEUSD_PERP.A,A,RUNEUSD_PERP,RUNE,USD,,True,True,COIN,QUOTE_ASSET,True,True
SANDUSD_PERP.A,A,SANDUSD_PERP,SAND,USD,,True,True,COIN,QUOTE_ASSET,True,True
SOLUSD_PERP.A,A,SOLUSD_PERP,SOL,USD,,True,True,COIN,QUOTE_ASSET,True,True
THETAUSD_PERP.A,A,THETAUSD_PERP,THETA,USD,,True,True,COIN,QUOTE_ASSET,True,True
TRXUSD_PERP.A,A,TRXUSD_PERP,TRX,USD,,True,True,COIN,QUOTE_ASSET,True,True
UNIUSD_PERP.A,A,UNIUSD_PERP,UNI,USD,,True,True,COIN,QUOTE_ASSET,True,True
XLMUSD_PERP.A,A,XLMUSD_PERP,XLM,USD,,True,True,COIN,QUOTE_ASSET,True,True
XRPUSD_PERP.A,A,XRPUSD_PERP,XRP,USD,,True,True,COIN,QUOTE_ASSET,True,True
BADGERUSDT.6,6,BADGERUSDT,BADGER,USDT,,True,True,STABLE,BASE_ASSET,True,True
SAGAUSDT.6,6,SAGAUSDT,SAGA,USDT,,True,True,STABLE,BASE_ASSET,True,True
BONDUSDT_PERP.A,A,BONDUSDT,BOND,USDT,,True,True,STABLE,BASE_ASSET,True,True
MDTUSDT.6,6,MDTUSDT,MDT,USDT,,True,True,STABLE,BASE_ASSET,True,True
USDEUSDT.6,6,USDEUSDT,USDE,USDT,,True,True,STABLE,BASE_ASSET,True,True
SEIUSDT_PERP.A,A,SEIUSDT,SEI,USDT,,True,True,STABLE,BASE_ASSET,True,True
GLMUSDT.6,6,GLMUSDT,GLM,USDT,,True,True,STABLE,BASE_ASSET,True,True
OXTUSDT.6,6,OXTUSDT,OXT,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZBCNUSDT.6,6,ZBCNUSDT,ZBCN,USDT,,True,True,STABLE,BASE_ASSET,True,True
XVGUSDT.6,6,XVGUSDT,XVG,USDT,,True,True,STABLE,BASE_ASSET,True,True
PENDLEUSDT.6,6,PENDLEUSDT,PENDLE,USDT,,True,True,STABLE,BASE_ASSET,True,True
XVGUSDT_PERP.A,A,XVGUSDT,XVG,USDT,,True,True,STABLE,BASE_ASSET,True,True
BNTUSDT_PERP.A,A,BNTUSDT,BNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
TONUSDT.6,6,TONUSDT,TON,USDT,,True,True,STABLE,BASE_ASSET,True,True
AKTUSDT.6,6,AKTUSDT,AKT,USDT,,True,True,STABLE,BASE_ASSET,True,True
KASUSDT.6,6,KASUSDT,KAS,USDT,,True,True,STABLE,BASE_ASSET,True,True
YGGUSDT_PERP.A,A,YGGUSDT,YGG,USDT,,True,True,STABLE,BASE_ASSET,True,True
BNTUSDT.6,6,BNTUSDT,BNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
TOMIUSDT.6,6,TOMIUSDT,TOMI,USDT,,True,True,STABLE,BASE_ASSET,True,True
AUCTIONUSDT.6,6,AUCTIONUSDT,AUCTION,USDT,,True,True,STABLE,BASE_ASSET,True,True
